doc_id,dominant_topic,confidence,topic_distribution
1,2,0.9261,"[0.0136, 0.0126, 0.9261, 0.0124, 0.0132, 0.0118, 0.0104]"
2,0,0.9042,"[0.9042, 0.0154, 0.022, 0.0152, 0.0161, 0.0144, 0.0127]"
3,4,0.9212,"[0.0136, 0.0126, 0.018, 0.0124, 0.9212, 0.0118, 0.0104]"
4,2,0.5514,"[0.0166, 0.3737, 0.5514, 0.0152, 0.0161, 0.0144, 0.0127]"
5,1,0.8754,"[0.0213, 0.8754, 0.0282, 0.0195, 0.0207, 0.0185, 0.0163]"
6,4,0.9038,"[0.0166, 0.0154, 0.022, 0.0152, 0.9038, 0.0144, 0.0127]"
7,1,0.9031,"[0.0166, 0.9031, 0.022, 0.0152, 0.0161, 0.0144, 0.0127]"
8,3,0.9327,"[0.0115, 0.0107, 0.0152, 0.9327, 0.0111]"
9,0,0.5153,"[0.5153, 0.0107, 0.0152, 0.0105, 0.0111, 0.4284]"
10,2,0.9521,[0.9521]
11,0,0.9216,"[0.9216, 0.0126, 0.018, 0.0124, 0.0132, 0.0118, 0.0104]"
12,2,0.9261,"[0.0136, 0.0126, 0.9261, 0.0124, 0.0132, 0.0118, 0.0104]"
13,2,0.5982,"[0.0213, 0.0198, 0.5982, 0.0195, 0.0207, 0.0185, 0.302]"
14,2,0.9374,"[0.0115, 0.0107, 0.9374, 0.0105, 0.0111]"
15,6,0.7511,"[0.0115, 0.0107, 0.1951, 0.0105, 0.0111, 0.7511]"
16,2,0.9261,"[0.0136, 0.0126, 0.9261, 0.0124, 0.0132, 0.0118, 0.0104]"
17,0,0.8278,"[0.8278, 0.0277, 0.0395, 0.0273, 0.0289, 0.0259, 0.0228]"
18,2,0.9097,"[0.0166, 0.0154, 0.9097, 0.0152, 0.0161, 0.0144, 0.0127]"
19,4,0.8763,"[0.0213, 0.0198, 0.0282, 0.0195, 0.8763, 0.0185, 0.0163]"
20,1,0.9031,"[0.0166, 0.9031, 0.022, 0.0152, 0.0161, 0.0144, 0.0127]"
21,4,0.827,"[0.0298, 0.0277, 0.0395, 0.0273, 0.827, 0.0259, 0.0228]"
22,1,0.5159,"[0.4037, 0.5159, 0.022, 0.0152, 0.0161, 0.0144, 0.0127]"
23,1,0.8754,"[0.0213, 0.8754, 0.0282, 0.0195, 0.0207, 0.0185, 0.0163]"
24,5,0.9322,"[0.0115, 0.0107, 0.0152, 0.0105, 0.0111, 0.9322]"
25,1,0.71,"[0.0496, 0.71, 0.0658, 0.0455, 0.0482, 0.043, 0.038]"
26,0,0.9337,"[0.9337, 0.0107, 0.0152, 0.0105, 0.0111]"
27,2,0.9374,"[0.0115, 0.0107, 0.9374, 0.0105, 0.0111]"
28,1,0.5066,"[0.4509, 0.5066, 0.0116]"
29,2,0.9374,"[0.0115, 0.0107, 0.9374, 0.0105, 0.0111]"
30,6,0.9185,"[0.0136, 0.0126, 0.018, 0.0124, 0.0132, 0.0118, 0.9185]"
31,4,0.9038,"[0.0166, 0.0154, 0.022, 0.0152, 0.9038, 0.0144, 0.0127]"
32,1,0.9487,"[0.9487, 0.0116]"
33,1,0.9207,"[0.0136, 0.9207, 0.018, 0.0124, 0.0132, 0.0118, 0.0104]"
34,2,0.9261,"[0.0136, 0.0126, 0.9261, 0.0124, 0.0132, 0.0118, 0.0104]"
35,1,0.9329,"[0.0115, 0.9329, 0.0152, 0.0105, 0.0111]"
36,1,0.9207,"[0.0136, 0.9207, 0.018, 0.0124, 0.0132, 0.0118, 0.0104]"
37,1,0.8754,"[0.0213, 0.8754, 0.0282, 0.0195, 0.0207, 0.0185, 0.0163]"
38,1,0.4445,"[0.0166, 0.4445, 0.022, 0.2518, 0.0161, 0.0144, 0.2347]"
